,,,,,
County Name,Precinct Name,Precinct Code,Total Voters,Hillary Clinton (D),Donald J. Trump (R)
Hamilton,DELHI S,BFB,918,222,637
Hamilton,ELMWOOD A,BFJ,630,264,316
Hamilton,EVENDALE A,BFN,979,425,494
Hamilton,EVENDALE B,BFO,789,224,512
Hamilton,EVENDALE C,BFP,196,103,73
Hamilton,GLENDALE A,BFR,740,315,373
Hamilton,GLENDALE B,BFS,873,419,407
Hamilton,GOLF MANOR A,BFW,"1,009",783,173
Hamilton,GOLF MANOR B,BFX,900,789,65
Hamilton,GREENHILLS A,BGC,406,157,204
Hamilton,GREENHILLS B,BGD,805,298,434
Hamilton,GREENHILLS C,BGE,781,303,408
Hamilton,GREEN A,BGI,948,230,660
Hamilton,GREEN AA,BGJ,835,185,573
Hamilton,GREEN B,BGL,927,313,551
Hamilton,GREEN BB,BGM,791,191,543
Hamilton,GREEN C,BGO,722,277,380
Hamilton,GREEN CC,BGP,861,222,578
Hamilton,GREEN D,BGR,"1,017",256,710
Hamilton,GREEN DD,BGS,743,209,494
Hamilton,GREEN E,BGU,"1,068",239,753
Hamilton,GREEN EE,BGV,796,237,515
Hamilton,GREEN F,BGX,873,182,639
Hamilton,GREEN FF,BGY,745,223,455
Hamilton,GREEN G,BHA,716,143,517
Hamilton,GREEN GG,BHB,"1,029",236,729
Hamilton,GREEN H,BHD,610,240,334
Hamilton,GREEN HH,BHE,968,261,632
Hamilton,GREEN I,BHG,848,238,543
Hamilton,GREEN II,BHH,504,271,206
Hamilton,GREEN J,BHJ,764,187,530
Hamilton,GREEN JJ,BHK,912,253,593
Hamilton,GREEN K,BHM,"1,008",220,706
Hamilton,GREEN KK,BHN,848,171,623
Hamilton,GREEN L,BHP,"1,037",299,689
Hamilton,GREEN LL,BHQ,773,147,581
Hamilton,GREEN M,BHS,655,129,482
Hamilton,GREEN MM,BHT,595,95,458
Hamilton,GREEN N,BHV,954,227,650
Hamilton,GREEN NN,BHW,563,112,422
Hamilton,GREEN O,BHY,972,345,552
Hamilton,GREEN OO,BHZ,526,98,398
Hamilton,GREEN P,BIB,875,181,644
Hamilton,GREEN PP,BIC,538,125,378
Hamilton,GREEN Q,BIE,985,189,727
Hamilton,GREEN QQ,BIF,951,175,714
Hamilton,GREEN R,BIH,572,101,434
Hamilton,GREEN S,BIJ,936,227,646
Hamilton,GREEN T,BIL,409,120,259
Hamilton,GREEN U,BIN,554,87,434
Hamilton,GREEN V,BIP,826,249,512
Hamilton,GREEN W,BIR,"1,090",206,811
Hamilton,GREEN X,BIT,"1,090",278,736
Hamilton,GREEN Y,BIV,758,204,498
Hamilton,GREEN Z,BIX,"1,147",314,755
Hamilton,HARR TWP AA,BIZ,579,108,440
Hamilton,HARR TWP BB,BJA,"1,021",176,792
Hamilton,HARR TWP CC,BJB,596,128,448
Hamilton,HARRISON A,BJE,841,157,624
Hamilton,HARRISON B,BJF,898,174,648
Hamilton,HARRISON C,BJG,"1,199",220,903
Hamilton,HARRISON D,BJH,854,170,636
Hamilton,HARRISON E,BJI,"1,109",181,869
Hamilton,HARRISON F,BJJ,536,116,377
Hamilton,LOCKLAND A,BJL,529,184,311
Hamilton,LOCKLAND B,BJM,796,470,294
Hamilton,MARIEMONT A,BJS,952,496,355
Hamilton,MARIEMONT B,BJT,"1,159",606,419
Hamilton,MIAMI TWP H,BJX,391,68,298
Hamilton,NORTH BEND A,BJZ,619,100,490
Hamilton,ADDYSTON A,BKA,312,88,209
Hamilton,CLEVES A,BKB,481,125,328
Hamilton,CLEVES B,BKC,"1,046",195,795
Hamilton,MIAMI TWP A,BKD,"1,079",199,800
Hamilton,MIAMI TWP B,BKE,"1,229",177,973
Hamilton,MIAMI TWP C,BKF,935,182,693
Hamilton,MIAMI TWP D,BKG,"1,087",203,833
Hamilton,MIAMI TWP E,BKH,722,128,554
Hamilton,MIAMI TWP F,BKI,465,91,347
Hamilton,MIAMI TWP G,BKJ,744,155,528
Hamilton,NEWTOWN A,BKK,611,218,340
Hamilton,NEWTOWN B,BKL,871,290,507
Hamilton,SPRINGFIELD A,BKM,527,458,52
Hamilton,SPRINGFIELD AA,BKN,834,503,291
Hamilton,SPRINGFIELD B,BKO,520,307,176
Hamilton,SPRINGFIELD BB,BKP,560,219,301
Hamilton,SPRINGFIELD C,BKQ,941,554,328
Hamilton,SPRINGFIELD D,BKS,675,379,253
Hamilton,SPRINGFIELD E,BKU,412,278,108
Hamilton,SPRINGFIELD F,BKW,556,258,247
Hamilton,SPRINGFIELD G,BKY,"1,102",590,441
Hamilton,SPRINGFIELD H,BLA,844,347,442
Hamilton,SPRINGFIELD I,BLC,342,166,154
Hamilton,SPRINGFIELD J,BLE,702,430,247
Hamilton,SPRINGFIELD K,BLG,565,445,103
Hamilton,SPRINGFIELD L,BLI,211,164,38
Hamilton,SPRINGFIELD M,BLK,827,455,335
Hamilton,SPRINGFIELD N,BLM,836,441,328
Hamilton,SPRINGFIELD O,BLO,447,373,59
Hamilton,SPRINGFIELD P,BLQ,636,476,141
Hamilton,SPRINGFIELD Q,BLS,949,608,291
Hamilton,SPRINGFIELD R,BLU,871,530,295
Hamilton,SPRINGFIELD S,BLW,939,529,353
Hamilton,SPRINGFIELD T,BLY,"1,033",628,367
Hamilton,SPRINGFIELD U,BMA,"1,030",529,431
Hamilton,SPRINGFIELD V,BMC,866,351,444
Hamilton,SPRINGFIELD W,BME,964,534,361
Hamilton,SPRINGFIELD X,BMG,556,378,152
Hamilton,SPRINGFIELD Y,BMI,678,464,173
Hamilton,SPRINGFIELD Z,BMJ,513,291,196
Hamilton,SYCAMORE A,BMK,96,87,8
Hamilton,SYCAMORE B,BMM,909,310,527
Hamilton,SYCAMORE C,BMO,"1,104",414,602
Hamilton,SYCAMORE D,BMP,648,269,320
Hamilton,SYCAMORE E,BMQ,"1,106",433,589
Hamilton,SYCAMORE F,BMR,683,296,336
Hamilton,SYCAMORE G,BMS,902,388,446
Hamilton,SYCAMORE H,BMT,693,357,269
Hamilton,SYCAMORE I,BMU,990,364,583
Hamilton,SYCAMORE J,BMV,606,317,241
Hamilton,SYCAMORE K,BMW,916,430,409
Hamilton,SYCAMORE L,BMX,818,267,486
Hamilton,SYCAMORE M,BMY,566,216,315
Hamilton,SYCAMORE N,BMZ,"1,024",374,566
Hamilton,SYMMES A,BNM,243,96,127
Hamilton,SYMMES B,BNN,881,383,419
Hamilton,SYMMES C,BNO,"1,009",366,568
Hamilton,SYMMES D,BNP,830,419,362
Hamilton,SYMMES E,BNQ,875,332,483
Hamilton,SYMMES F,BNR,990,431,469
Hamilton,SYMMES G,BNS,539,246,258
Hamilton,SYMMES H,BNT,398,136,227
Hamilton,SYMMES I,BNU,674,376,241
Hamilton,SYMMES J,BNV,915,326,533
Hamilton,SYMMES K,BNW,318,90,201
Hamilton,SYMMES L,BNX,870,336,455
Hamilton,TERRACE PARK A,BOE,940,383,474
Hamilton,TERRACE PARK B,BOF,540,227,256
Hamilton,WHITEWATER A,BOH,"1,144",227,858
Hamilton,WHITEWATER B,BOI,886,155,670
Hamilton,WHITEWATER C,BOJ,343,59,271
Hamilton,WOODLAWN A,BOL,742,622,85
Hamilton,WOODLAWN B,BOM,"1,006",847,115
Hamilton,LINCOLN HGTS A,BOP,942,917,11
Hamilton,LINCOLN HGTS B,BOQ,518,499,11
Hancock,FINDLAY 1A,AAA,456,185,228
Hancock,FINDLAY 1B,AAB,601,191,356
Hancock,FINDLAY 1C,AAG,463,171,245
Hancock,FINDLAY 2C,AAH,594,202,347
Hancock,FINDLAY 2E,AAI,774,181,551
Hancock,FINDLAY 2A,AAJ,874,280,531
Hancock,FINDLAY 2B,AAL,599,211,354
Hancock,FINDLAY 2D,AAM,592,142,410
Hancock,FINDLAY 3A,AAO,863,228,577
Hancock,FINDLAY 3B,AAP,657,199,415
Hancock,FINDLAY 3C,AAQ,754,240,453
Hancock,FINDLAY 3D,AAR,470,150,289
Hancock,FINDLAY 4A,AAU,418,142,226
Hancock,FINDLAY 4B,AAV,436,147,253
Hancock,FINDLAY 4C,AAW,400,145,198
Hancock,FINDLAY 4D,AAX,624,253,322
Hancock,FINDLAY 1D,AAZ,789,252,477
Hancock,FINDLAY 5A,ABA,746,261,414
Hancock,FINDLAY 5B,ABB,600,163,390
Hancock,FINDLAY 5C,ABC,628,182,391
Hancock,FINDLAY 5D,ABD,739,228,464
Hancock,FINDLAY 5E,ABE,398,101,275
Hancock,FINDLAY 6A,ABG,342,123,188
Hancock,FINDLAY 6B,ABH,364,124,203
Hancock,FINDLAY 6C,ABI,497,149,285
Hancock,FINDLAY 6D,ABJ,422,138,242
Hancock,FINDLAY 4E,ABM,464,131,290
Hancock,FOSTORIA N,ABN,695,258,380
Hancock,FOSTORIA S,ABO,608,250,292
Hancock,ALLEN E,ABP,657,113,495
Hancock,ALLEN W,ABQ,767,170,545
Hancock,AMANDA,ABR,609,94,476
Hancock,BIGLICK,ABS,717,127,538
Hancock,BLANCHARD,ABT,653,89,518
Hancock,CASS,ABU,553,108,404
Hancock,DELAWARE,ABV,668,139,470
Hancock,EAGLE,ABW,701,96,573
Hancock,JACKSON,ABX,607,117,451
Hancock,LIBERTY N,ABY,581,152,378
Hancock,LIBERTY NE,ABZ,594,169,388
Hancock,LIBERTY NW,ACA,858,184,621
Hancock,LIBERTY SE,ACB,784,194,517
Hancock,LIBERTY SW,ACC,758,155,556
Hancock,MADISON E,ACD,532,91,418
Hancock,MADISON W,ACE,687,99,533
Hancock,MARION S,ACH,"1,025",249,714
Hancock,ORANGE,ACI,768,109,597
Hancock,PLEASANT,ACJ,405,55,333
Hancock,MCCOMB,ACK,628,171,423
Hancock,PORTAGE,ACL,447,83,334
Hancock,UNION E,ACM,460,86,346
Hancock,UNION W,ACN,468,55,381
Hancock,VAN BUREN,ACO,546,79,439
Hancock,WASHINGTON,ACR,802,179,557
Hancock,MARION N,ACS,917,205,641
Hancock,FINDLAY 7A,ACU,597,175,376
Hancock,FINDLAY 7B,ACV,517,168,306
Hancock,FINDLAY 7C,ACW,575,194,334
Hancock,FINDLAY 7D,ACX,473,130,301
Hancock,FINDLAY 7E,ACY,350,147,174
Hardin,KENTON 1,AAA,642,177,415
Hardin,KENTON 2,AAD,966,261,639
Hardin,KENTON 3,AAG,727,213,447
Hardin,KENTON 4,AAJ,440,109,288
Hardin,DUNKIRK / BLANCHARD,AAM,667,139,495
Hardin,BUCK,AAN,378,74,282
Hardin,CESSNA,AAO,261,68,177
Hardin,DUDLEY,AAP,429,88,312
Hardin,GOSHEN,AAQ,313,51,241
Hardin,MOUNT VICTORY / RIDGEWAY / HALE,AAS,688,146,492
Hardin,FOREST / JACKSON,AAV,853,175,594
Hardin,LIBERTY,AAX,949,174,706
Hardin,ADA NORTH,AAZ,754,250,450
Hardin,ADA SOUTH,ABB,789,306,414
Hardin,LYNN,ABD,312,77,217
Hardin,ALGER / MCGUFFEY / MARION,ABE,"1,010",210,748
Hardin,MCDONALD,ABH,455,69,355
Hardin,PLEASANT,ABI,840,161,627
Hardin,ROUNDHEAD,ABK,371,61,290
Hardin,TAYLOR CREEK,ABL,290,58,221
Hardin,WASHINGTON,ABM,382,53,307
Harrison,ARCHER TWP,AAA,155,27,125
Harrison,ATHENS TWP/VIL,AAB,270,63,189
Harrison,CADIZ TWP/VIL NE,AAE,798,194,548
Harrison,CADIZ VIL SW,AAG,806,226,526
Harrison,FRANKLIN TWP/VIL,AAL,327,82,223
Harrison,FREEPORT TWP/VIL,AAM,366,85,259
Harrison,GERMAN TWP,AAO,373,100,255
Harrison,GREEN TWP/VIL,AAS,890,222,610
Harrison,MONROE TWP/VIL,AAU,471,83,355
Harrison,MOOREFIELD TWP,AAV,209,35,163
Harrison,NORTH TWP/VIL,AAX,660,147,470
Harrison,NOTTINGHAM TWP,ABA,164,28,123
Harrison,RUMLEY TWP/VIL,ABB,622,118,474
Harrison,SHORTCREEK TWP/VIL,ABF,580,129,425
Harrison,STOCK TWP,ABH,261,71,178
Harrison,WASHINGTON TWP,ABI,279,78,175
Henry,NAPOLEON CITY 1.0,AAA,458,159,244
Henry,NAPOLEON CITY 2.0,AAB,439,134,252
Henry,NAPOLEON CITY 3.0,AAC,835,266,493
Henry,NAPOLEON CITY 4.0,AAE,858,298,489
Henry,NAPOLEON CITY 5.0,AAH,793,277,450
Henry,NAPOLEON CITY 6.0,AAI,632,198,389
Henry,BARTLOW TWP 8.0,AAJ,342,59,271
Henry,DAMASCUS TWP 9.0,AAK,858,251,517
Henry,DESHLER VILLAGE 7.0,AAL,772,193,506
Henry,FLATROCK TWP 10.0,AAO,689,192,443
Henry,FREEDOM TWP 11.0,AAP,539,101,404
Henry,HARRISON TWP 12.0,AAQ,589,135,409
Henry,HOLGATE VILLAGE 19.0,AAS,463,202,227
Henry,LIBERTY TWP 14.0,AAT,761,182,517
Henry,LIBERTY CENTER VILLAGE 13.0,AAV,506,133,312
Henry,MARION TWP 15.0,AAW,715,161,511
Henry,MONROE TWP 16.0,AAY,593,138,413
Henry,NAPOLEON EAST TWP 17.0,ABA,341,80,239
Henry,NAPOLEON WEST TWP 18.0,ABB,548,96,412
Henry,PLEASANT TWP 20.0,ABC,561,112,403
Henry,RICHFIELD TWP 21.0,ABD,351,51,281
Henry,RIDGEVILLE TWP 22.0,ABE,623,102,466
Henry,WASHINGTON TWP 23.0,ABF,950,236,653
Highland,GREENFIELD N,AAB,731,255,425
Highland,GREENFIELD S,AAF,643,221,389
Highland,HILLSBORO NE,AAI,602,180,391
Highland,HILLSBORO NW,AAJ,728,212,475
Highland,HILLSBORO SE,AAL,499,153,316
Highland,HILLSBORO SW-A,AAN,457,119,303
Highland,HILLSBORO SW-B,AAO,385,92,265
Highland,BRUSHCREEK,AAQ,600,110,462
Highland,CLAY,AAS,698,111,554
Highland,CONCORD,AAT,667,82,548
Highland,DODSON,AAU,523,77,423
Highland,LYNCHBURG,AAV,663,107,515
Highland,FAIRFIELD E,AAX,718,114,585
Highland,FAIRFIELD W,AAY,350,42,291
Highland,LEESBURG,AAZ,469,98,351
Highland,HAMER,ABB,378,65,298
Highland,JACKSON,ABC,510,94,386
Highland,LIBERTY NE,ABD,483,79,384
Highland,LIBERTY NW,ABE,589,96,463
Highland,LIBERTY S,ABF,845,111,699
Highland,MADISON,ABG,868,205,624
Highland,MARSHALL,ABI,492,90,381
Highland,NEW MARKET,ABJ,995,144,797
Highland,PAINT N,ABL,464,95,344
Highland,PAINT SE,ABM,526,148,340
Highland,PAINT SW,ABN,638,163,441
Highland,PENN,ABO,736,111,591
Highland,SALEM,ABP,406,68,311
Highland,UNION,ABQ,877,142,696
Highland,WASHINGTON,ABR,590,82,470
Highland,WHITEOAK,ABT,639,107,502
Hocking,PRECINCT LOGAN 1,AAB,853,318,473
Hocking,PRECINCT LOGAN 2,AAE,746,219,473
Hocking,PRECINCT LOGAN 3,AAG,901,300,547
Hocking,PRECINCT LOGAN 4,AAJ,735,239,457
Hocking,PRECINCT BENTON,AAL,431,156,256
Hocking,PRECINCT FALLS 1,AAM,343,106,220
Hocking,PRECINCT FALLS 2,AAN,520,116,370
Hocking,PRECINCT FALLS 3,AAO,340,79,243
Hocking,PRECINCT FALLS 4,AAP,527,165,334
Hocking,PRECINCT FALLS 5,AAQ,274,91,176
Hocking,PRECINCT GOOD HOPE,AAR,702,181,479
Hocking,PRECINCT GREEN 1,AAT,605,146,421
Hocking,PRECINCT GREEN 2,AAU,452,109,321
Hocking,PRECINCT LAUREL,AAV,631,180,408
Hocking,PRECINCT MARION 1,AAW,530,102,393
Hocking,PRECINCT MARION 2,AAX,376,93,261
Hocking,PRECINCT LAURELVILLE,AAY,203,63,121
Hocking,PRECINCT PERRY 1,AAZ,489,117,333
Hocking,PRECINCT SALTCREEK,ABA,468,129,301
Hocking,PRECINCT STARR,ABB,739,205,478
Hocking,PRECINCT CARBON HILL,ABD,374,125,222
Hocking,PRECINCT MURRAY CITY,ABE,212,82,115
Hocking,PRECINCT WASHINGTON,ABF,590,160,409
Hocking,PRECINCT HIDE AWAY HILLS,ABG,327,115,181
Hocking,PRECINCT PERRY 2,ABH,397,94,287
Hocking,PRECINCT WEST LOGAN,ABJ,338,85,218
Holmes,PRECINCT BERLIN NORTH,AAA,612,42,516
Holmes,PRECINCT BERLIN SOUTH,AAB,471,53,386
Holmes,PRECINCT CLARK TOWNSHIP,AAC,360,13,270
Holmes,PRECINCT HARDY TOWNSHIP,AAD,"1,038",159,793
Holmes,PRECINCT MILLERSBURG EAST,AAF,891,228,578
Holmes,PRECINCT MILLERSBURG WEST,AAH,412,98,272
Holmes,PRECINCT KILLBUCK TOWNSHIP,AAJ,842,151,637
Holmes,PRECINCT KNOX TOWNSHIP,AAL,588,86,453
Holmes,PRECINCT MECHANIC TOWNSHIP,AAM,828,159,603
Holmes,PRECINCT MONROE TOWNSHIP,AAO,770,122,598
Holmes,PRECINCT PAINT TOWNSHIP,AAP,636,36,487
Holmes,PRECINCT PRAIRIE TOWNSHIP,AAR,771,111,589
Holmes,PRECINCT RICHLAND TOWNSHIP,AAT,458,82,335
Holmes,PRECINCT RIPLEY TOWNSHIP,AAU,807,161,594
Holmes,PRECINCT SALTCREEK TOWNSHIP,AAW,538,35,380
Holmes,PRECINCT WALNUT CREEK TOWNSHIP,AAX,862,96,682
Holmes,PRECINCT WASHINGTON TOWNSHIP,AAY,770,156,547
Huron,BELLEVUE 3,AAA,637,211,371
Huron,BELLEVUE 4,AAD,738,250,421
Huron,NORWALK 1-A,AAG,773,264,454
Huron,NORWALK 1-B,AAH,771,296,421
Huron,NORWALK 1-C,AAI,522,195,266
Huron,NORWALK 2-A,AAL,725,207,467
Huron,NORWALK 2-B,AAM,583,194,338
Huron,NORWALK 2-C,AAN,727,241,420
Huron,NORWALK 3-A,AAQ,347,116,190
Huron,NORWALK 3-B,AAR,506,151,309
Huron,NORWALK 3-C,AAS,571,179,336
Huron,NORWALK 4-A,AAV,420,149,229
Huron,NORWALK 4-B,AAW,417,161,217
Huron,NORWALK 4-C,AAX,713,244,404
Huron,WILLARD 1,ABA,373,132,207
Huron,WILLARD 2,ABC,294,97,167
Huron,WILLARD 3,ABE,667,203,419
Huron,WILLARD 4,ABG,717,196,467
Huron,BRONSON TWP 1,ABI,484,116,339
Huron,BRONSON TWP 2,ABJ,640,154,441
Huron,CLARKSFIELD TWP,ABK,807,205,547
Huron,FAIRFIELD TWP/VILL,ABL,510,100,367
Huron,FITCHVILLE TWP,ABN,517,106,383
Huron,GREENFIELD TWP,ABO,808,181,587
Huron,GREENWICH TWP,ABP,350,65,262
Huron,GREENWICH VILLAGE,ABQ,580,116,428
Huron,HARTLAND TWP,ABS,484,116,316
Huron,LYME TWP,ABT,523,146,336
Huron,NEW HAVEN TWP,ABU,741,149,550
Huron,PLYMOUTH VILLAGE,ABW,274,66,187
Huron,NEW LONDON TWP,ABX,465,116,326
Huron,NEW LONDON VILL 1,ABY,417,154,227
Huron,NEW LONDON VILL 2,ABZ,509,133,342
Huron,NORWALK TWP NORTH,ACB,664,180,439
Huron,NORWALK-MILAN TWP,ACC,534,174,328
Huron,NORWALK TWP SOUTH,ACD,361,118,226
Huron,NORWICH TWP,ACE,512,91,378
Huron,PERU TWP,ACF,595,135,418
Huron,RICHMOND TWP,ACG,453,92,338
Huron,RIDGEFIELD TWP,ACH,522,109,378
Huron,MONROEVILLE VILLAGE,ACI,543,186,316
Huron,RIPLEY TWP,ACK,361,63,276
Huron,SHERMAN TWP,ACL,266,67,182
Huron,TOWNSEND TWP,ACM,799,223,510
Huron,WAKEMAN TWP,ACO,672,198,438
Huron,WAKEMAN VILLAGE,ACQ,451,147,258
Jackson,PRECINCT JACKSON 1-A,AAA,829,196,572
Jackson,PRECINCT JACKSON 2-A,AAC,567,171,353
Jackson,PRECINCT JACKSON 3-A,AAE,551,147,362
Jackson,PRECINCT JACKSON 4-A,AAG,709,158,498
Jackson,PRECINCT WELLSTON 1-A,AAJ,429,112,303
Jackson,PRECINCT WELLSTON 2-A,AAL,337,78,237
Jackson,PRECINCT WELLSTON 2-B,AAM,490,138,307
Jackson,PRECINCT WELLSTON 3-A,AAO,301,89,200
Jackson,PRECINCT WELLSTON 4-A,AAQ,534,157,339
Jackson,PRECINCT BLOOMFIELD,AAS,515,94,401
Jackson,PRECINCT COAL II,AAT,597,112,455
Jackson,PRECINCT COAL I,AAV,212,59,139
Jackson,PRECINCT FRANKLIN II,AAW,483,94,372
Jackson,PRECINCT HAMILTON,AAX,262,59,184
Jackson,PRECINCT JACKSON,AAY,590,153,407
Jackson,PRECINCT JEFFERSON I,AAZ,423,87,321
Jackson,PRECINCT JEFFERSON II,ABA,540,106,415
Jackson,PRECINCT OAK HILL II,ABB,367,68,280
Jackson,PRECINCT LIBERTY II,ABC,581,153,386
Jackson,PRECINCT LICK I,ABD,673,192,440
Jackson,PRECINCT LICK II,ABE,517,136,349
Jackson,PRECINCT MADISON I,ABG,302,57,241
Jackson,PRECINCT MADISON II,ABH,371,63,292
Jackson,PRECINCT OAK HILL I,ABI,236,61,168
Jackson,PRECINCT MILTON I,ABJ,502,97,383
Jackson,PRECINCT SCIOTO II,ABM,374,74,280
Jackson,PRECINCT WASHINGTON,ABN,350,62,266
Jackson,PRECINCT FRANKLIN I,ABO,587,101,456
Jackson,PRECINCT LIBERTY I,ABP,321,71,239
Jackson,PRECINCT SCIOTO I,ABQ,401,81,304
Jefferson,PRECINCT STEUBENVILLE 1-1,AAA,431,232,173
Jefferson,PRECINCT STEUBENVILLE 1-2,AAB,356,221,108
Jefferson,PRECINCT STEUBENVILLE 2-1,AAE,557,209,284
Jefferson,PRECINCT STEUBENVILLE 2-2,AAF,710,283,363
Jefferson,PRECINCT STEUBENVILLE 3-1,AAI,622,241,325
Jefferson,PRECINCT STEUBENVILLE 3-2,AAJ,723,220,441
Jefferson,PRECINCT STEUBENVILLE 4-1,AAM,402,267,101
Jefferson,PRECINCT STEUBENVILLE 4-2,AAN,424,144,240
Jefferson,PRECINCT STEUBENVILLE 5-1,AAQ,593,229,321
Jefferson,PRECINCT STEUBENVILLE 5-2,AAR,642,203,399
Jefferson,PRECINCT STEUBENVILLE 5-3,AAS,567,177,347
Jefferson,PRECINCT STEUBENVILLE 6-1,AAU,577,169,375
Jefferson,PRECINCT STEUBENVILLE 6-2,AAV,682,179,468
Jefferson,PRECINCT STEUBENVILLE 6-3,AAW,657,193,427
Jefferson,PRECINCT TORONTO 1-A,ABA,715,212,453
Jefferson,PRECINCT TORONTO 2-A,ABC,659,195,420
Jefferson,PRECINCT TORONTO 3-A,ABE,609,183,371
Jefferson,PRECINCT TORONTO 4-A,ABG,516,175,313
Jefferson,PRECINCT BRUSH CREEK,ABI,228,51,163
Jefferson,PRECINCT BANTAM RIDGE,ABJ,858,187,631
Jefferson,PRECINCT BRENTWOOD,ABL,568,163,367
Jefferson,PRECINCT CROSS CREEK,ABM,706,147,530
Jefferson,PRECINCT NEW ALEXANDRIA,ABO,123,29,84
Jefferson,PRECINCT WEST PARK,ABS,615,168,409
Jefferson,PRECINCT WINTERSVILLE A,ABT,648,206,405
Jefferson,PRECINCT WINTERSVILLE B,ABU,580,175,357
Jefferson,PRECINCT WINTERSVILLE C,ABV,379,155,206
Jefferson,PRECINCT ISLAND CREEK,ABY,536,128,377
Jefferson,PRECINCT MT TABOR,ABZ,442,56,359
Jefferson,PRECINCT PLEASANT HILL 1,ACA,596,138,416
Jefferson,PRECINCT PLEASANT HILL 2,ACB,653,155,460
Jefferson,PRECINCT TWO RIDGE,ACE,440,119,284
Jefferson,PRECINCT WELSMAR,ACF,204,37,158
Jefferson,PRECINCT WINTRINGER,ACH,261,60,194
Jefferson,PRECINCT WINTERSVILLE D,ACI,531,152,350
Jefferson,PRECINCT EMPIRE,ACK,105,23,77
Jefferson,PRECINCT GRANT,ACL,362,83,248
Jefferson,PRECINCT NEW SOMERSET,ACN,681,123,517
Jefferson,PRECINCT STRATTON,ACO,151,56,83
Jefferson,PRECINCT EMERSON,ACP,727,214,484
Jefferson,PRECINCT MT PLEASANT,ACS,213,71,129
Jefferson,PRECINCT DILLONVALE,ACT,246,118,118
Jefferson,PRECINCT ROSS,ACU,346,70,256
Jefferson,PRECINCT RICHMOND,ACV,264,43,198
Jefferson,PRECINCT SALEM,ACW,482,81,373
Jefferson,PRECINCT SHELLEY,ACX,978,184,752
Jefferson,PRECINCT IRONDALE,ACZ,142,57,72
Jefferson,PRECINCT SALINE,ADA,443,116,306
Jefferson,PRECINCT ADENA,ADB,283,92,174
Jefferson,PRECINCT LINCOLN,ADC,269,92,162
Jefferson,PRECINCT PINE VALLEY,ADD,289,104,170
Jefferson,PRECINCT PINEY FORK,ADE,297,80,201
Jefferson,PRECINCT SMITHFIELD,ADF,309,122,166
Jefferson,PRECINCT AMSTERDAM,ADG,184,57,110
Jefferson,PRECINCT BERGHOLZ,ADH,282,55,206
Jefferson,PRECINCT ELK,ADI,563,127,407
Jefferson,PRECINCT GEORGES RUN,ADK,351,87,246
Jefferson,PRECINCT MINGO A,ADM,454,154,269
Jefferson,PRECINCT MINGO B,ADN,336,102,216
Jefferson,PRECINCT MINGO C,ADO,445,127,294
Jefferson,PRECINCT MINGO D,ADP,383,122,239
Jefferson,PRECINCT GLEN ROBBINS,ADT,853,298,507
Jefferson,PRECINCT RAYLAND,ADU,192,58,118
Jefferson,PRECINCT TILTONSVILLE,ADW,639,231,363
Jefferson,PRECINCT YORKVILLE,AEA,291,105,168
Jefferson,PRECINCT BELVEDERE,AEB,487,93,357
Jefferson,PRECINCT BLOOMINGDALE,AEC,96,23,68
Jefferson,PRECINCT WAYNE,AEE,621,117,473
Jefferson,PRECINCT WELLS 1,AEF,230,60,160
Jefferson,PRECINCT WELLS 2,AEG,467,130,310
Jefferson,PRECINCT BRILLIANT,AEH,633,142,441
Knox,PRECINCT MOUNT VERNON 1-A,AAA,589,231,318
Knox,PRECINCT MOUNT VERNON 1-B,AAB,447,155,261
Knox,PRECINCT MOUNT VERNON 1-C,AAC,611,167,389
Knox,PRECINCT MOUNT VERNON 2-A,AAE,459,148,273
Knox,PRECINCT MOUNT VERNON 2-B,AAF,267,71,183
Knox,PRECINCT MOUNT VERNON 2-C,AAG,632,199,369
Knox,PRECINCT MOUNT VERNON 3-A,AAH,803,274,462
Knox,PRECINCT MOUNT VERNON 3-B,AAI,649,245,359
Knox,PRECINCT MOUNT VERNON 3-C,AAJ,598,186,371
Knox,PRECINCT MOUNT VERNON 4-A,AAK,556,200,308
Knox,PRECINCT MOUNT VERNON 4-B,AAL,705,207,444
Knox,PRECINCT MOUNT VERNON 4-C,AAM,463,139,281
Knox,PRECINCT BERLIN,AAO,976,184,738
Knox,PRECINCT BROWN,AAQ,752,168,535
Knox,PRECINCT BUTLER,AAR,363,46,278
Knox,PRECINCT CLAY-MARTINSBURG,AAS,601,99,469
Knox,PRECINCT CLINTON A,AAT,303,79,208
Knox,PRECINCT CLINTON B,AAU,540,140,369
Knox,PRECINCT CLINTON C,AAV,573,163,375
Knox,PRECINCT COLLEGE,AAW,205,84,102
Knox,PRECINCT GAMBIER A,AAX,"1,037",938,70
Knox,PRECINCT HARRISON,AAY,421,97,298
Knox,PRECINCT CENTERBURG,AAZ,741,185,478
Knox,PRECINCT HILLIAR A,ABA,480,91,353
Knox,PRECINCT HOWARD A,ABB,446,106,318
Knox,PRECINCT HOWARD B,ABC,460,74,358
Knox,PRECINCT HOWARD C,ABD,950,254,636
Knox,PRECINCT HOWARD D,ABE,953,261,620
Knox,PRECINCT JACKSON,ABF,483,55,399
Knox,PRECINCT JEFFERSON,ABG,290,50,224
Knox,PRECINCT LIBERTY B,ABH,547,128,393
Knox,PRECINCT MIDDLEBURY,ABI,474,71,375
